video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210617_1916,SPNC,5x4,uniform,20,1,5,1,,,,
20210617_1916,SPNC,5x4,uniform,20,1,4,2,,,,
20210618_0841,SPNC,5x4,uniform,20,2,19,1,,,,
20210618_0841,SPNC,5x4,uniform,20,2,13,2,,,,
20210618_0841,SPNC,5x4,uniform,20,2,11,3,,,,
20210618_0841,SPNC,5x4,uniform,20,2,16,4,,,,
20210618_0841,SPNC,5x4,uniform,20,2,17,5,,,,
20210618_0841,SPNC,5x4,uniform,20,2,18,6,,,,
20210618_1000,SPNC,5x4,uniform,20,3,19,1,,,,
20210618_1000,SPNC,5x4,uniform,20,3,5,2,,,,
20210618_1000,SPNC,5x4,uniform,20,3,4,3,,,,
20210619_1031,SPNC,5x4,uniform,20,4,20,1,,,,
20210619_1031,SPNC,5x4,uniform,20,4,15,2,,,,
20210619_1054,SPNC,5x4,uniform,20,5,15,1,,,,
20210619_1122,SPNC,5x4,uniform,20,6,20,1,,,,
20210619_1122,SPNC,5x4,uniform,20,6,17,2,,,,
20210619_1122,SPNC,5x4,uniform,20,6,11,3,,,,
20210619_1130,SPNC,5x4,uniform,20,7,19,1,,,,
20210619_1130,SPNC,5x4,uniform,20,7,14,2,,,,
20210619_1130,SPNC,5x4,uniform,20,7,9,3,,,,
20210619_1135,SPNC,5x4,uniform,20,8,9,1,,,,
20210619_1135,SPNC,5x4,uniform,20,8,4,2,,,,
20210619_1140,SPNC,5x4,uniform,20,9,20,1,,,,
20210619_1140,SPNC,5x4,uniform,20,9,14,2,,,,
20210619_1148,SPNC,5x4,uniform,20,10,20,1,,,,
20210619_1927,SPNC,5x4,uniform,20,11,5,1,,,,
20210619_1933,SPNC,5x4,uniform,20,12,5,1,,,,
20210619_1952,SPNC,5x4,uniform,20,13,5,1,,,,
20210619_1952,SPNC,5x4,uniform,20,13,10,2,,,,
20210619_2019,SPNC,5x4,uniform,20,14,20,1,,,,
20210619_2019,SPNC,5x4,uniform,20,14,15,2,,,,
20210619_2041,SPNC,5x4,uniform,20,15,10,1,,,,
20210620_1956,SPNC,5x4,uniform,20,16,20,1,,,,
20210620_1956,SPNC,5x4,uniform,20,16,15,2,,,,
20210620_1956,SPNC,5x4,uniform,20,16,10,3,,,,
20210620_1956,SPNC,5x4,uniform,20,16,9,4,,,,
20210621_1830,SPNC,5x4,uniform,20,17,16,1,,,,
20210621_1830,SPNC,5x4,uniform,20,17,11,2,,,,
